,X,Y,,Kinematic Tolerances,Lateral,60
Bogey Centre,15000,0,,,Vertical,50
Body Overhang,3150,0,,,Rotational,2
Vehicle Width,4270,0,,Structural Gauge (Straight Track),X,Y
Roll Centre,0,610,,1,0,0
Outline      Definition ,0,75,,2,2060,0
,675,75,,3,2060,3800
,675,0,,4,1525,5400
,940,0,,5,0,5400
,940,75,,,,
,975,75,,,,
,975,150,,,,
,1070,150,,,,
,1070,75,,,,
,1345,75,,,,
,1345,200,,,,
,1450,340,,,,
,1450,1120,,,,
,1525,1120,,,,
,1525,3580,,,,
,1070,4040,,,,
,760,4190,,,,
,460,4270,,,,
,0,4270,,,,
